Feature,Data_Label,Data_Description,Data_Type
x,rosiglitazone_Steady,Drug given while in hospital?,dichotomous/binary
x,rosiglitazone_Up,Drug given while in hospital?,dichotomous/binary
x,acarbose_Down,Drug given while in hospital?,dichotomous/binary
x,acarbose_No,Drug given while in hospital?,dichotomous/binary
x,acarbose_Steady,Drug given while in hospital?,dichotomous/binary
x,acarbose_Up,Drug given while in hospital?,dichotomous/binary
x,miglitol_Down,Drug given while in hospital?,dichotomous/binary
x,miglitol_No,Drug given while in hospital?,dichotomous/binary
x,miglitol_Steady,Drug given while in hospital?,dichotomous/binary
x,miglitol_Up,Drug given while in hospital?,dichotomous/binary
x,troglitazone_No,Drug given while in hospital?,dichotomous/binary
x,troglitazone_Steady,Drug given while in hospital?,dichotomous/binary
x,tolazamide_No,Drug given while in hospital?,dichotomous/binary
x,tolazamide_Steady,Drug given while in hospital?,dichotomous/binary
x,tolazamide_Up,Drug given while in hospital?,dichotomous/binary
x,insulin_Down,Drug given while in hospital?,dichotomous/binary
x,insulin_No,Drug given while in hospital?,dichotomous/binary
x,insulin_Steady,Drug given while in hospital?,dichotomous/binary
x,insulin_Up,Drug given while in hospital?,dichotomous/binary
x,glyburide-metformin_Down,Drug given while in hospital?,dichotomous/binary
x,glyburide-metformin_No,Drug given while in hospital?,dichotomous/binary
x,glyburide-metformin_Steady,Drug given while in hospital?,dichotomous/binary
x,glyburide-metformin_Up,Drug given while in hospital?,dichotomous/binary
x,glipizide-metformin_No,Drug given while in hospital?,dichotomous/binary
x,glipizide-metformin_Steady,Drug given while in hospital?,dichotomous/binary
x,glimepiride-pioglitazone_No,Drug given while in hospital?,dichotomous/binary
x,glimepiride-pioglitazone_Steady,Drug given while in hospital?,dichotomous/binary
x,metformin-rosiglitazone_No,Drug given while in hospital?,dichotomous/binary
x,metformin-rosiglitazone_Steady,Drug given while in hospital?,dichotomous/binary
x,metformin-pioglitazone_No,Drug given while in hospital?,dichotomous/binary
x,metformin-pioglitazone_Steady,Drug given while in hospital?,dichotomous/binary
x,diabetesMed_No,Diabetese medication given in hospital?,dichotomous/binary
x,diabetesMed_Yes,Diabetese medication given in hospital?,dichotomous/binary
x,admission_source_Clinic Referral,Admit Source,dichotomous/binary
x,admission_source_Court/Law Enforcement,Admit Source,dichotomous/binary
x,admission_source_Emergency Room,Admit Source,dichotomous/binary
x,admission_source_Extramural Birth,Admit Source,dichotomous/binary
x,admission_source_HMO Referral,Admit Source,dichotomous/binary
x,admission_source_NULL,Admit Source,dichotomous/binary
x,admission_source_Normal Delivery,Admit Source,dichotomous/binary
x,admission_source_Not Available,Admit Source,dichotomous/binary
x,admission_source_Not Mapped,Admit Source,dichotomous/binary
x,admission_source_Physician Referral,Admit Source,dichotomous/binary
x,admission_source_Sick Baby,Admit Source,dichotomous/binary
x,admission_source_Transfer from Ambulatory Surgery Center,Admit Source,dichotomous/binary
x,admission_source_Transfer from a Skilled Nursing Facility (SNF),Admit Source,dichotomous/binary
x,admission_source_Transfer from a hospital,Admit Source,dichotomous/binary
x,admission_source_Transfer from another health care facility,Admit Source,dichotomous/binary
x,admission_source_Transfer from critial access hospital,Admit Source,dichotomous/binary
x,admission_source_Transfer from hospital inpt/same fac reslt in a sep claim,Admit Source,dichotomous/binary
x,admission_type_Elective,Admit Type,dichotomous/binary
x,admission_type_Emergency,Admit Type,dichotomous/binary
x,admission_type_NULL,Admit Type,dichotomous/binary
x,admission_type_Newborn,Admit Type,dichotomous/binary
x,admission_type_Not Available,Admit Type,dichotomous/binary
x,admission_type_Not Mapped,Admit Type,dichotomous/binary
x,admission_type_Trauma Center,Admit Type,dichotomous/binary
x,admission_type_Urgent,Admit Type,dichotomous/binary
x,discharge_disposition_Admitted as an inpatient to this hospital,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged to home,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to ICF,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to SNF,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to a federal health care facility.,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to a long term care hospital.,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to a nursing facility certified under Medicaid but not certified under Medicare.,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to another rehab fac including rehab units of a hospital.,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to another short term hospital,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to another type of inpatient care institution,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to home under care of Home IV provider,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred to home with home health service,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred within this institution to Medicare approved swing bed,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred/referred another institution for outpatient services,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred/referred to a psychiatric hospital of psychiatric distinct part unit of a hospital,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Discharged/transferred/referred to this institution for outpatient services,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Expired,Discharge Disposition,dichotomous/binary
x,"discharge_disposition_Expired at home. Medicaid only, hospice.",Discharge Disposition,dichotomous/binary
x,"discharge_disposition_Expired in a medical facility. Medicaid only, hospice.",Discharge Disposition,dichotomous/binary
x,discharge_disposition_Hospice / home,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Hospice / medical facility,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Left AMA,Discharge Disposition,dichotomous/binary
x,discharge_disposition_NULL,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Neonate discharged to another hospital for neonatal aftercare,Discharge Disposition,dichotomous/binary
x,discharge_disposition_Still patient or expected to return for outpatient services,Discharge Disposition,dichotomous/binary
x,admission_type_id,Admission Type ID (mapped),integer
x,discharge_disposition_id,Discharge Type ID (mapped),integer
x,admission_source_id,Admission Source (mapped),integer
x,time_in_hospital,Length of Stay of Hospital Visit,integer
x,num_lab_procedures,Number of Lab Tests,integer
x,num_procedures,Number of Procedures,integer
x,num_medications,Number of Medications,integer
x,number_diagnoses,Number of Diagnoses,integer
